Player Name, Minutes Played, Games Played, PER, WS, WS48, OWS, DWS, BPM, OBPM, DBPM, VORP, Usage%, TS%, 3PA rate, FTA rate, ORB%, DRB%, TRB%, AST%, STL%, BLK%, TOV% 
De'Aaron Fox,1760,56,17.8,3.8,0.103,2.0,1.7,0.9,0.9,0.0,1.3,24.6,0.548,0.219,0.384,1.9,10.4,6.1,32.6,2.5,1.4,16.2
Tim Frazier,909,47,11.8,1.6,0.083,1.1,0.4,-1.9,-0.5,-1.4,0.0,12.5,0.552,0.395,0.21,3.8,11.8,7.9,28.2,1.3,0.4,22.0
Danilo Gallinari,1472,48,19.7,5.4,0.177,4.3,1.2,2.6,3.8,-1.2,1.7,22.6,0.626,0.439,0.44,3.1,17.3,10.4,12.3,1.1,0.8,8.5
Langston Galloway,1149,54,9.6,1.8,0.074,0.8,1.0,-1.7,-0.6,-1.1,0.1,16.0,0.505,0.657,0.147,3.0,9.0,5.9,7.4,1.1,0.4,4.2
Marc Gasol,1848,56,17.3,4.2,0.109,1.1,3.1,3.0,-0.3,3.3,2.3,22.6,0.541,0.314,0.296,3.6,26.1,14.6,22.7,1.8,3.4,13.4
Rudy Gay,1311,48,18.3,3.4,0.124,2.0,1.4,1.6,1.0,0.6,1.2,22.1,0.6,0.232,0.187,3.8,22.2,13.0,14.6,1.5,1.9,12.3
Paul George,2034,56,24.9,9.7,0.23,6.1,3.7,6.4,5.6,0.8,4.3,29.8,0.598,0.459,0.336,4.0,19.0,11.4,18.0,2.9,1.1,9.9
Taj Gibson,1402,56,16.8,4.1,0.14,2.8,1.3,1.0,0.5,0.5,1.1,16.1,0.608,0.078,0.31,10.3,17.7,13.9,6.7,1.5,2.0,11.0
Harry Giles,567,44,13.3,0.5,0.046,-0.2,0.7,-2.7,-3.6,0.9,-0.1,23.1,0.519,0.021,0.271,7.7,19.4,13.5,14.3,2.1,2.1,16.7
Shai Gilgeous-Alexander,1524,59,12.4,1.7,0.054,0.5,1.2,-1.0,-1.2,0.2,0.4,18.3,0.544,0.186,0.274,3.0,8.0,5.6,16.7,2.0,1.7,16.5
Rudy Gobert,1800,57,24.5,10.0,0.266,6.0,3.9,7.4,2.0,5.4,4.3,17.4,0.676,0.0,0.703,13.1,31.3,22.2,11.0,1.4,5.5,12.3
Aaron Gordon,1841,55,15.1,3.4,0.09,1.2,2.2,0.8,-0.1,1.0,1.3,21.8,0.536,0.334,0.256,5.3,18.4,11.7,16.3,1.1,1.6,11.9
Eric Gordon,1458,45,11.1,0.8,0.026,0.5,0.3,-4.5,-1.1,-3.4,-0.9,22.8,0.516,0.59,0.181,1.1,8.0,4.4,10.1,0.8,1.2,8.5
Marcin Gortat,751,47,13.0,1.4,0.09,0.6,0.8,-0.9,-2.3,1.4,0.2,14.5,0.562,0.0,0.258,9.9,26.6,18.5,12.1,0.4,2.5,19.4
Jerami Grant,1774,55,14.1,5.2,0.142,2.8,2.5,0.7,-0.7,1.4,1.2,14.7,0.604,0.323,0.312,3.3,13.2,8.2,3.9,1.3,3.5,7.3
Jerian Grant,792,48,10.0,1.1,0.065,0.2,0.9,-2.4,-2.4,0.0,-0.1,13.3,0.5,0.492,0.177,2.1,9.1,5.6,22.7,2.4,0.4,18.7
Danny Green,1637,57,11.8,3.8,0.111,1.8,2.0,2.4,1.1,1.3,1.8,13.5,0.6,0.671,0.068,3.2,12.1,7.8,6.5,1.5,2.1,10.0
Draymond Green,1308,42,13.1,2.7,0.098,0.7,2.0,2.1,-1.4,3.5,1.4,13.2,0.499,0.38,0.214,3.5,21.8,13.1,28.4,2.4,2.9,26.7
Gerald Green,1131,53,11.9,1.5,0.066,1.2,0.4,-3.4,-0.2,-3.3,-0.4,18.8,0.572,0.762,0.113,2.3,12.0,7.0,4.1,0.8,1.6,7.7
JaMychal Green,960,44,15.2,2.1,0.103,0.5,1.5,-1.1,-1.9,0.8,0.2,20.1,0.59,0.321,0.247,8.7,23.5,16.0,6.4,1.8,2.8,15.5
